;model;anno_level1;anno_level2_1;anno_level2_2;n;count;perc
1;gpt-3.5-turbo;atyp;noutt_concise;NA;1;44;2,272727273
3;gpt-3.5-turbo;atyp;utt_concise;NA;2;44;4,545454545
4;gpt-3.5-turbo;no_atyp;normal;NA;2;44;4,545454545
5;gpt-3.5-turbo;no_atyp;reinforced-utt;NA;4;44;9,090909091
6;gpt-3.5-turbo;no_atyp;reinforced-utt+sk;reinforced-utt;8;44;18,1817
7;gpt-3.5-turbo;no_atyp;sk;NA;26;44;59,09090909
8;gpt-3.5-turbo;unclear;atyp-reject;NA;1;44;2,272727273
9;gpt-4;atyp;noutt_concise;NA;2;44;4,545454545
10;gpt-4;atyp;utt_concise;NA;4;44;9,090909091
11;gpt-4;atyp;utt_elab;NA;2;44;4,545454545
12;gpt-4;no_atyp;reinforced-utt+normal;reinforced-utt;2;44;4,5454
13;gpt-4;no_atyp;normal;NA;1;44;2,272727273
15;gpt-4;no_atyp;reinforced-utt+sk;reinforced-utt;1;44;2,272727273
16;gpt-4;no_atyp;sk;NA;27;44;61,36363636
17;gpt-4;unclear;atyp-reject;NA;3;44;6,818181818
19;llama3_instruct;atyp;utt_elab;NA;1;44;2,272727273
20;llama3_instruct;no_atyp;normal;NA;2;44;4,545454545
22;llama3_instruct;no_atyp;reinforced-utt;NA;2;44;4,545454545
23;llama3_instruct;no_atyp;sk+normal;normal;4;44;9,090909091
24;llama3_instruct;no_atyp;reinforced-utt+sk;reinforced-utt;16;44;36,3635
25;llama3_instruct;no_atyp;sk;NA;19;44;43,18181818
26;mixtral;atyp;utt_concise;NA;3;44;6,818181818
27;mixtral;atyp;utt_elab;NA;1;44;2,272727273
28;mixtral;no_atyp;reinforced-utt+normal;reinforced-utt;1;44;2,272727273
29;mixtral;no_atyp;normal;NA;3;44;6,818181818
31;mixtral;no_atyp;reinforced-utt;NA;4;44;9,090909091
32;mixtral;no_atyp;reinforced-utt+sk;reinforced-utt;0,07;44;15,909
33;mixtral;no_atyp;sk;NA;15;44;34,09090909
34;mixtral;unclear;atyp-reject;NA;9;44;20,45454545
35;mixtral;unclear;incorrect-reasoning;NA;1;44;2,272727273
