"";"model";"anno_level1";"anno_level2_1";"anno_level2_2";"n";"count";"perc"
"1";"gpt-3.5-turbo";"atypicality";"noutt_concise";NA;2;218;0,917431192660551
"2";"gpt-3.5-turbo";"atypicality";"noutt_elaborative";NA;7;218;3,21100917431193
"3";"gpt-3.5-turbo";"no-atypicality";"no-sk";NA;5;218;2,29357798165138
"4";"gpt-3.5-turbo";"no-atypicality";"normal";NA;8;218;3,6697247706422
"5";"gpt-3.5-turbo";"no-atypicality";"reinforced-utt";"sk";12;218;5,5045871559633
"6";"gpt-3.5-turbo";"no-atypicality";"reinforced-utt";NA;94;218;43,1192660550459
"7";"gpt-3.5-turbo";"no-atypicality";"sk";NA;71;218;32,5688073394495
"8";"gpt-3.5-turbo";"unclear";"hallucinated-facts";NA;13;218;5,96330275229358
"9";"gpt-3.5-turbo";"unclear";"incorrect-reasoning";NA;2;218;0,917431192660551
"10";"gpt-3.5-turbo";"unclear";"not-sure";NA;4;218;1,8348623853211
"11";"gpt-4";"atypicality";"noutt_concise";NA;1;48;2,08333333333333
"12";"gpt-4";"atypicality";"noutt_elaborative";NA;1;48;2,08333333333333
"13";"gpt-4";"no-atypicality";"no-sk";NA;2;48;4,16666666666667
"14";"gpt-4";"no-atypicality";"normal";NA;3;48;6,25
"15";"gpt-4";"no-atypicality";"reinforced-utt";"sk";4;48;8,33333333333333
"16";"gpt-4";"no-atypicality";"reinforced-utt";NA;16;48;33,3333333333333
"17";"gpt-4";"no-atypicality";"sk";NA;17;48;35,4166666666667
"18";"gpt-4";"unclear";"atyp-reject";NA;1;48;2,08333333333333
"19";"gpt-4";"unclear";"hallucinated-facts";NA;3;48;6,25
