"";"X";"model";"prompt_method";"Anno1";"Anno2_1";"Anno_2_2";"n";"count";"perc"
"1";1;"gpt-3.5-turbo";"conversation";"no_atyp";"normal";NA;1;24;4,16666666666667
"2";2;"gpt-3.5-turbo";"conversation";"no_atyp";"reinforced-utt";NA;6;24;25
"3";3;"gpt-3.5-turbo";"conversation";"no_atyp";"sk";NA;17;24;70,8333333333333
"4";4;"gpt-3.5-turbo";"conversation";NA;NA;NA;24;24;100
"5";5;"gpt-4";"conversation";"atyp";"utt_concise";NA;1;24;4,16666666666667
"6";6;"gpt-4";"conversation";"no_atyp";"reinforced-utt";NA;5;24;20,8333333333333
"7";7;"gpt-4";"conversation";"no_atyp";"sk";"normal";1;24;4,16666666666667
"8";8;"gpt-4";"conversation";"no_atyp";"sk";"reinforced-utt";3;24;12,5
"9";9;"gpt-4";"conversation";"no_atyp";"sk";NA;11;24;45,8333333333333
"10";10;"gpt-4";"conversation";"unclear";"atyp-reject";NA;1;24;4,16666666666667
"11";11;"gpt-4";"conversation";"unclear";"not-sure";NA;2;24;8,33333333333333
"12";12;"llama3_instruct";"conversation";"atyp";"noutt_concise";NA;1;24;4,16666666666667
"13";13;"llama3_instruct";"conversation";"atyp";"utt_concise";NA;3;24;12,5
"14";14;"llama3_instruct";"conversation";"no_atyp";"normal";NA;4;24;16,6666666666667
"15";15;"llama3_instruct";"conversation";"no_atyp";"reinforced-utt";NA;2;24;8,33333333333333
"16";16;"llama3_instruct";"conversation";"no_atyp";"sk";"reinforced-utt";1;24;4,16666666666667
"17";17;"llama3_instruct";"conversation";"no_atyp";"sk";NA;12;24;50
"18";18;"llama3_instruct";"conversation";"unclear";"incorrect-reasoning";NA;1;24;4,16666666666667
"19";19;"mixtral";"conversation";"atyp";"noutt_concise";NA;1;24;4,16666666666667
"20";20;"mixtral";"conversation";"atyp";"utt_concise";NA;1;24;4,16666666666667
"21";21;"mixtral";"conversation";"no_atyp";"normal";NA;2;24;8,33333333333333
"22";22;"mixtral";"conversation";"no_atyp";"not-sure";NA;1;24;4,16666666666667
"23";23;"mixtral";"conversation";"no_atyp";"reinforced-utt";NA;9;24;37,5
"24";24;"mixtral";"conversation";"no_atyp";"sk";"reinforced-utt";3;24;12,5
"25";25;"mixtral";"conversation";"no_atyp";"sk";NA;4;24;16,6666666666667
"26";26;"mixtral";"conversation";"unclear";"not-sure";NA;3;24;12,5
